,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
0,653,1,1,CHC,1,2015-04-05,1,259,0.4,5,35,10,36,15,2,6.23,0,0,0,1,0,2015-04-05,0.4
1,81,1,1,CHC,1,2015-04-05,2,259,0.6,5,31,11,36,15,3,6.23,0,0,0,1,0,2015-04-05,0.6
2,429,0,1,CHC,1,2015-04-05,3,259,0.5,5,40,15,36,15,2,6.23,0,0,1,1,0,2015-04-05,0.4
3,24,0,1,CHC,1,2015-04-05,4,259,0.2,5,38,15,36,15,1,6.23,0,0,1,1,0,2015-04-05,0.2
4,832,1,1,CHC,1,2015-04-05,5,259,0.0,4,32,9,36,15,0,6.23,0,0,0,0,1,2015-04-05,0.0
5,744,0,1,CHC,1,2015-04-05,6,259,0.0,4,38,17,36,15,0,6.23,0,0,1,0,1,2015-04-05,0.0
6,570,1,1,CHC,1,2015-04-05,7,259,0.0,4,30,8,36,15,0,6.23,0,0,0,0,1,2015-04-05,0.0
7,324,1,1,CHC,1,2015-04-05,8,259,0.5,4,35,11,36,15,2,6.23,0,0,0,1,0,2015-04-05,0.5
8,63,0,1,CHC,1,2015-04-05,9,259,0.0,3,39,15,36,15,0,6.23,0,0,1,0,1,2015-04-05,0.0
9,636,3,0,CHC,0,2015-04-05,1,113,0.25,4,34,13,39,15,1,0.0,0,0,1,1,0,2015-04-05,0.25
10,737,0,0,CHC,0,2015-04-05,2,113,0.0,4,28,7,39,15,0,0.0,0,0,0,0,1,2015-04-05,0.0
11,468,1,0,CHC,0,2015-04-05,3,113,0.0,4,31,10,39,15,0,0.0,0,0,1,0,1,2015-04-05,0.0
12,852,0,0,CHC,0,2015-04-05,4,113,0.25,4,30,11,39,15,1,0.0,0,0,0,1,0,2015-04-05,0.25
13,262,1,0,CHC,0,2015-04-05,5,113,0.25,4,35,9,39,15,1,0.0,0,0,1,1,0,2015-04-05,0.25
14,267,0,0,CHC,0,2015-04-05,6,113,0.0,4,32,3,39,15,0,0.0,0,0,0,0,1,2015-04-05,0.0
15,56,0,0,CHC,0,2015-04-05,7,113,0.5,2,43,15,39,15,1,0.0,0,0,0,1,0,2015-04-05,0.5
16,349,1,0,CHC,0,2015-04-05,8,113,0.0,1,36,15,39,15,0,0.0,0,0,1,0,1,2015-04-05,0.0
17,354,1,0,CHC,0,2015-04-05,9,113,0.333,3,31,7,39,15,1,0.0,0,0,1,1,0,2015-04-05,0.3333333333333333
18,842,3,0,NYY,1,2015-04-06,1,209,0.0,5,37,16,32,7,0,9.0,0,0,1,0,1,2015-04-06,0.0
19,803,0,0,NYY,1,2015-04-06,2,209,0.25,5,37,14,32,7,1,9.0,0,0,0,1,0,2015-04-06,0.2
20,219,0,0,NYY,1,2015-04-06,3,209,0.0,5,40,15,32,7,0,9.0,0,0,0,0,1,2015-04-06,0.0
21,126,0,0,NYY,1,2015-04-06,4,209,0.25,4,37,16,32,7,1,9.0,0,0,0,1,0,2015-04-06,0.25
22,828,0,0,NYY,1,2015-04-06,5,209,0.0,4,35,10,32,7,0,9.0,0,0,0,0,1,2015-04-06,0.0
23,153,3,0,NYY,1,2015-04-06,6,209,0.25,4,36,13,32,7,1,9.0,0,0,1,1,0,2015-04-06,0.25
24,686,3,0,NYY,1,2015-04-06,7,209,0.0,4,28,4,32,7,0,9.0,0,0,1,0,1,2015-04-06,0.0
25,163,0,0,NYY,1,2015-04-06,8,209,0.5,4,31,8,32,7,2,9.0,0,0,0,1,0,2015-04-06,0.5
26,629,0,0,NYY,1,2015-04-06,9,209,0.5,4,29,4,32,7,1,9.0,0,0,0,1,0,2015-04-06,0.25
27,368,1,0,NYY,0,2015-04-06,1,228,0.0,4,37,11,30,5,0,1.5,0,0,1,0,1,2015-04-06,0.0
28,231,1,0,NYY,0,2015-04-06,2,228,0.25,4,37,13,30,5,1,1.5,0,0,1,1,0,2015-04-06,0.25
29,761,3,0,NYY,0,2015-04-06,3,228,0.0,4,43,20,30,5,0,1.5,0,0,1,0,1,2015-04-06,0.0
30,241,3,0,NYY,0,2015-04-06,4,228,0.0,4,40,14,30,5,0,1.5,0,0,1,0,1,2015-04-06,0.0
31,269,1,0,NYY,0,2015-04-06,5,228,0.25,4,36,15,30,5,1,1.5,0,0,1,1,0,2015-04-06,0.25
