,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
0,733,3,0,BOS,1,2019-04-13,1,199,0.302,6,29,8,32,12,2,11.12,0,0,1,1,0,2019-04-13,0.3333333333333333
1,364,0,0,BOS,1,2019-04-13,2,199,0.339,6,28,4,32,12,2,11.12,0,0,0,1,0,2019-04-13,0.3333333333333333
2,441,1,0,BOS,1,2019-04-13,3,199,0.263,6,28,4,32,12,0,11.12,0,0,1,0,1,2019-04-13,0.0
3,816,0,0,BOS,1,2019-04-13,4,199,0.265,5,26,5,32,12,2,11.12,0,0,0,1,0,2019-04-13,0.4
4,305,1,0,BOS,1,2019-04-13,5,199,0.22,5,26,5,32,12,2,11.12,0,0,1,1,0,2019-04-13,0.4
5,815,1,0,BOS,1,2019-04-13,6,199,0.079,5,34,13,32,12,3,11.12,0,0,1,1,0,2019-04-13,0.6
6,761,0,0,BOS,1,2019-04-13,7,199,0.286,5,28,5,32,12,0,11.12,0,0,0,0,1,2019-04-13,0.0
7,32,0,0,BOS,1,2019-04-13,8,199,0.2,5,27,6,32,12,1,11.12,0,0,0,1,0,2019-04-13,0.2
8,566,3,0,BOS,1,2019-04-13,9,199,0.132,5,26,3,32,12,1,11.12,0,0,1,1,0,2019-04-13,0.2
9,574,1,0,BOS,0,2019-04-13,1,133,0.286,4,26,5,34,10,1,5.31,0,0,1,1,0,2019-04-13,0.25
10,428,0,0,BOS,0,2019-04-13,2,133,0.232,4,28,7,34,10,1,5.31,0,0,0,1,0,2019-04-13,0.25
11,6,1,0,BOS,0,2019-04-13,3,133,0.277,3,35,11,34,10,0,5.31,0,0,1,0,1,2019-04-13,0.0
12,537,0,0,BOS,0,2019-04-13,4,133,0.316,4,33,10,34,10,1,5.31,0,0,0,1,0,2019-04-13,0.25
13,615,0,0,BOS,0,2019-04-13,5,133,0.286,4,28,8,34,10,0,5.31,0,0,0,0,1,2019-04-13,0.0
14,731,0,0,BOS,0,2019-04-13,6,133,0.1,3,37,13,34,10,0,5.31,0,0,0,0,1,2019-04-13,0.0
15,531,1,0,BOS,0,2019-04-13,7,133,0.259,4,24,4,34,10,1,5.31,0,0,1,1,0,2019-04-13,0.25
16,264,0,0,BOS,0,2019-04-13,8,133,0.182,4,37,14,34,10,0,5.31,0,0,0,0,1,2019-04-13,0.0
17,573,0,0,BOS,0,2019-04-13,9,133,0.229,4,30,6,34,10,2,5.31,0,0,0,1,0,2019-04-13,0.5
18,169,3,1,NYY,1,2019-04-13,1,159,0.313,4,29,8,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
19,79,0,1,NYY,1,2019-04-13,2,159,0.444,4,27,5,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
20,600,0,1,NYY,1,2019-04-13,3,159,0.192,3,30,3,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
21,383,1,1,NYY,1,2019-04-13,4,159,0.15,3,33,10,40,19,0,0.0,0,0,0,0,1,2019-04-13,0.0
22,25,3,1,NYY,1,2019-04-13,5,159,0.296,3,25,5,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
23,317,0,1,NYY,1,2019-04-13,6,159,0.3,3,24,2,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
24,108,0,1,NYY,1,2019-04-13,7,159,0.083,3,33,10,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
25,347,0,1,NYY,1,2019-04-13,8,159,0.25,1,26,3,40,19,1,0.0,0,0,1,1,0,2019-04-13,1.0
26,408,0,1,NYY,1,2019-04-13,9,159,0.15,3,29,4,40,19,0,0.0,0,0,1,0,1,2019-04-13,0.0
27,216,1,0,NYY,0,2019-04-13,1,49,0.204,4,37,13,33,11,1,5.28,0,0,1,1,0,2019-04-13,0.25
28,603,0,0,NYY,0,2019-04-13,2,49,0.275,4,28,5,33,11,1,5.28,0,0,0,1,0,2019-04-13,0.25
29,74,0,0,NYY,0,2019-04-13,3,49,0.432,4,32,10,33,11,1,5.28,0,0,0,1,0,2019-04-13,0.25
30,116,0,0,NYY,0,2019-04-13,4,49,0.296,4,24,3,33,11,1,5.28,0,0,0,1,0,2019-04-13,0.25
31,377,1,0,NYY,0,2019-04-13,5,49,0.171,4,28,4,33,11,0,5.28,0,0,1,0,1,2019-04-13,0.0
32,669,0,0,NYY,0,2019-04-13,6,49,0.333,3,26,4,33,11,1,5.28,0,0,0,1,0,2019-04-13,0.3333333333333333
33,532,1,0,NYY,0,2019-04-13,7,49,0.143,2,30,4,33,11,0,5.28,0,0,1,0,1,2019-04-13,0.0
34,151,0,0,NYY,0,2019-04-13,8,49,0.5,3,30,4,33,11,1,5.28,0,0,0,1,0,2019-04-13,0.3333333333333333
35,660,1,0,NYY,0,2019-04-13,9,49,0.176,3,26,4,33,11,0,5.28,0,0,1,0,1,2019-04-13,0.0
36,738,0,0,MIN,1,2019-04-13,1,82,0.135,5,33,10,31,7,0,3.0,0,0,0,0,1,2019-04-13,0.0
37,196,3,0,MIN,1,2019-04-13,2,82,0.184,4,27,5,31,7,1,3.0,0,0,1,1,0,2019-04-13,0.25
38,475,0,0,MIN,1,2019-04-13,3,82,0.26,4,37,18,31,7,1,3.0,0,0,0,1,0,2019-04-13,0.25
