,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
0,229,1,0,TB,1,2017-04-02,1,68,0.25,4,37,13,32,8,1,2.57,1,2,1,1,0,2017-04-02,0.25
1,632,0,0,TB,1,2017-04-02,2,68,0.0,5,28,6,32,8,0,2.57,1,2,0,0,1,2017-04-02,0.0
2,394,1,0,TB,1,2017-04-02,3,68,0.0,5,28,4,32,8,0,2.57,1,2,1,0,1,2017-04-02,0.0
3,414,0,0,TB,1,2017-04-02,4,68,0.0,4,40,15,32,8,0,2.57,1,2,0,0,1,2017-04-02,0.0
4,353,1,0,TB,1,2017-04-02,5,68,0.0,4,37,11,32,8,0,2.57,1,2,1,0,1,2017-04-02,0.0
5,855,0,0,TB,1,2017-04-02,6,68,0.75,4,30,11,32,8,3,2.57,1,2,0,1,0,2017-04-02,0.75
6,304,3,0,TB,1,2017-04-02,7,68,0.75,4,36,12,32,8,3,2.57,1,2,1,1,0,2017-04-02,0.75
7,608,0,0,TB,1,2017-04-02,8,68,0.25,4,28,5,32,8,1,2.57,1,2,0,1,0,2017-04-02,0.25
8,603,0,0,TB,1,2017-04-02,9,68,0.0,2,28,6,32,8,0,2.57,1,2,0,0,1,2017-04-02,0.0
9,85,1,0,TB,0,2017-04-02,1,220,0.2,5,31,8,32,7,1,23.63,1,2,1,1,0,2017-04-02,0.2
10,774,1,0,TB,0,2017-04-02,2,220,0.667,5,30,8,32,7,2,23.63,1,2,1,1,0,2017-04-02,0.4
11,687,0,0,TB,0,2017-04-02,3,220,0.5,5,35,13,32,7,2,23.63,1,2,0,1,0,2017-04-02,0.4
12,397,1,0,TB,0,2017-04-02,4,220,0.4,5,31,8,32,7,2,23.63,1,2,1,1,0,2017-04-02,0.4
13,831,0,0,TB,0,2017-04-02,5,220,0.0,4,31,6,32,7,0,23.63,1,2,0,0,1,2017-04-02,0.0
14,700,1,0,TB,0,2017-04-02,6,220,0.75,4,33,11,32,7,3,23.63,1,2,1,1,0,2017-04-02,0.75
15,86,0,0,TB,0,2017-04-02,7,220,0.25,4,30,6,32,7,1,23.63,1,2,0,1,0,2017-04-02,0.25
16,241,1,0,TB,0,2017-04-02,8,220,0.25,4,27,5,32,7,1,23.63,1,2,1,1,0,2017-04-02,0.25
17,736,0,0,TB,0,2017-04-02,9,220,0.25,4,31,6,32,7,1,23.63,1,2,0,1,0,2017-04-02,0.25
18,284,1,0,ARI,1,2017-04-02,1,54,0.4,5,36,11,37,17,2,3.6,1,1,1,1,0,2017-04-02,0.4
19,99,1,0,ARI,1,2017-04-02,2,54,0.0,5,32,10,37,17,0,3.6,1,1,1,0,1,2017-04-02,0.0
20,75,0,0,ARI,1,2017-04-02,3,54,0.25,5,37,14,37,17,1,3.6,1,1,0,1,0,2017-04-02,0.2
21,377,0,0,ARI,1,2017-04-02,4,54,0.0,5,33,11,37,17,0,3.6,1,1,0,0,1,2017-04-02,0.0
22,696,1,0,ARI,1,2017-04-02,5,54,0.4,5,33,10,37,17,2,3.6,1,1,1,1,0,2017-04-02,0.4
23,765,0,0,ARI,1,2017-04-02,6,54,0.75,4,33,11,37,17,3,3.6,1,1,0,1,0,2017-04-02,0.75
24,357,1,0,ARI,1,2017-04-02,7,54,0.0,2,31,4,37,17,0,3.6,1,1,1,0,1,2017-04-02,0.0
25,588,1,0,ARI,1,2017-04-02,8,54,0.333,4,30,7,37,17,1,3.6,1,1,1,1,0,2017-04-02,0.25
26,317,0,0,ARI,1,2017-04-02,9,54,1.0,3,31,12,37,17,2,3.6,1,1,0,1,0,2017-04-02,0.6666666666666666
27,71,0,1,ARI,0,2017-04-02,1,32,0.6,5,33,9,31,12,3,3.86,1,1,1,1,0,2017-04-02,0.6
28,787,0,1,ARI,0,2017-04-02,2,32,0.4,5,29,8,31,12,2,3.86,1,1,1,1,0,2017-04-02,0.4
29,363,0,1,ARI,0,2017-04-02,3,32,0.5,4,33,10,31,12,2,3.86,1,1,1,1,0,2017-04-02,0.5
30,416,1,1,ARI,0,2017-04-02,4,32,0.0,4,30,7,31,12,0,3.86,1,1,0,0,1,2017-04-02,0.0
31,316,0,1,ARI,0,2017-04-02,5,32,0.0,4,30,3,31,12,0,3.86,1,1,1,0,1,2017-04-02,0.0
