,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
0,856,1,0,DET,1,2018-03-30,1,121,0.429,7,29,5,34,12,3,6.0,0,0,1,1,0,2018-03-30,0.42857142857142855
1,762,0,0,DET,1,2018-03-30,2,121,0.4,7,33,10,34,12,2,6.0,0,0,0,1,0,2018-03-30,0.2857142857142857
2,29,1,0,DET,1,2018-03-30,3,121,0.6,7,29,7,34,12,3,6.0,0,0,1,1,0,2018-03-30,0.42857142857142855
3,174,3,0,DET,1,2018-03-30,4,121,0.5,7,28,5,34,12,3,6.0,0,0,1,1,0,2018-03-30,0.42857142857142855
4,88,1,0,DET,1,2018-03-30,5,121,0.167,6,31,8,34,12,1,6.0,0,0,1,1,0,2018-03-30,0.16666666666666666
5,547,0,0,DET,1,2018-03-30,6,121,0.4,6,32,9,34,12,2,6.0,0,0,0,1,0,2018-03-30,0.3333333333333333
6,604,0,0,DET,1,2018-03-30,7,121,0.333,6,34,13,34,12,2,6.0,0,0,0,1,0,2018-03-30,0.3333333333333333
7,263,1,0,DET,1,2018-03-30,8,121,0.0,6,28,5,34,12,0,6.0,0,0,1,0,1,2018-03-30,0.0
8,484,0,0,DET,1,2018-03-30,9,121,0.167,6,34,9,34,12,1,6.0,0,0,0,1,0,2018-03-30,0.16666666666666666
9,260,1,0,DET,0,2018-03-30,1,40,0.167,7,30,3,33,11,1,3.6,0,0,1,1,0,2018-03-30,0.14285714285714285
10,210,3,0,DET,0,2018-03-30,2,40,0.25,7,27,5,33,11,1,3.6,0,0,1,1,0,2018-03-30,0.14285714285714285
11,500,0,0,DET,0,2018-03-30,3,40,0.333,7,37,18,33,11,2,3.6,0,0,0,1,0,2018-03-30,0.2857142857142857
12,761,0,0,DET,0,2018-03-30,4,40,0.333,7,28,8,33,11,2,3.6,0,0,0,1,0,2018-03-30,0.2857142857142857
13,526,3,0,DET,0,2018-03-30,5,40,0.0,4,42,16,33,11,0,3.6,0,0,1,0,1,2018-03-30,0.0
14,115,0,0,DET,0,2018-03-30,6,40,0.333,7,30,7,33,11,2,3.6,0,0,0,1,0,2018-03-30,0.2857142857142857
15,473,0,0,DET,0,2018-03-30,7,40,0.143,7,31,5,33,11,1,3.6,0,0,0,1,0,2018-03-30,0.14285714285714285
16,294,0,0,DET,0,2018-03-30,8,40,0.167,7,30,3,33,11,1,3.6,0,0,0,1,0,2018-03-30,0.14285714285714285
17,181,0,0,DET,0,2018-03-30,9,40,0.333,6,28,4,33,11,2,3.6,0,0,0,1,0,2018-03-30,0.3333333333333333
18,183,1,0,CIN,1,2018-03-30,1,207,0.333,4,32,9,34,14,1,1.5,0,0,1,1,0,2018-03-30,0.25
19,103,0,0,CIN,1,2018-03-30,2,207,0.25,4,30,8,34,14,1,1.5,0,0,0,1,0,2018-03-30,0.25
20,343,1,0,CIN,1,2018-03-30,3,207,0.667,4,28,9,34,14,2,1.5,0,0,1,1,0,2018-03-30,0.5
21,644,0,0,CIN,1,2018-03-30,4,207,0.0,4,36,15,34,14,0,1.5,0,0,0,0,1,2018-03-30,0.0
22,521,0,0,CIN,1,2018-03-30,5,207,0.25,4,37,15,34,14,1,1.5,0,0,0,1,0,2018-03-30,0.25
23,364,0,0,CIN,1,2018-03-30,6,207,0.0,4,27,6,34,14,0,1.5,0,0,0,0,1,2018-03-30,0.0
25,769,3,0,CIN,1,2018-03-30,8,207,0.0,4,34,12,34,14,0,1.5,0,0,1,0,1,2018-03-30,0.0
26,312,0,0,CIN,1,2018-03-30,9,207,0.0,2,36,13,34,14,0,1.5,0,0,0,0,1,2018-03-30,0.0
27,506,1,0,CIN,0,2018-03-30,1,226,0.0,4,27,4,36,13,0,0.0,0,0,1,0,1,2018-03-30,0.0
28,459,0,0,CIN,0,2018-03-30,2,226,0.0,4,29,7,36,13,0,0.0,0,0,0,0,1,2018-03-30,0.0
29,592,1,0,CIN,0,2018-03-30,3,226,0.25,4,37,14,36,13,1,0.0,0,0,1,1,0,2018-03-30,0.25
30,195,1,0,CIN,0,2018-03-30,4,226,1.0,4,30,7,36,13,4,0.0,0,0,1,1,0,2018-03-30,1.0
31,451,1,0,CIN,0,2018-03-30,5,226,0.25,4,30,6,36,13,1,0.0,0,0,1,1,0,2018-03-30,0.25
32,520,3,0,CIN,0,2018-03-30,6,226,0.0,3,29,7,36,13,0,0.0,0,0,1,0,1,2018-03-30,0.0
33,512,0,0,CIN,0,2018-03-30,7,226,0.0,4,26,6,36,13,0,0.0,0,0,0,0,1,2018-03-30,0.0
34,169,0,0,CIN,0,2018-03-30,8,226,0.5,2,34,14,36,13,1,0.0,0,0,0,1,0,2018-03-30,0.5
35,531,3,0,CIN,0,2018-03-30,9,226,0.0,4,30,8,36,13,0,0.0,0,0,1,0,1,2018-03-30,0.0
36,232,1,0,TOR,1,2018-03-30,1,175,0.222,5,37,13,28,6,1,6.35,1,1,1,1,0,2018-03-30,0.2
37,610,0,0,TOR,1,2018-03-30,2,175,0.25,4,28,5,28,6,0,6.35,1,1,0,0,1,2018-03-30,0.0
38,330,0,0,TOR,1,2018-03-30,3,175,0.333,4,31,11,28,6,0,6.35,1,1,0,0,1,2018-03-30,0.0
39,349,1,0,TOR,1,2018-03-30,4,175,0.333,4,30,9,28,6,2,6.35,1,1,1,1,0,2018-03-30,0.5
40,637,0,0,TOR,1,2018-03-30,5,175,0.111,4,28,6,28,6,0,6.35,1,1,0,0,1,2018-03-30,0.0
41,239,3,0,TOR,1,2018-03-30,6,175,0.286,4,35,12,28,6,1,6.35,1,1,1,1,0,2018-03-30,0.25
42,844,1,0,TOR,1,2018-03-30,7,175,0.25,4,26,3,28,6,1,6.35,1,1,1,1,0,2018-03-30,0.25
43,468,0,0,TOR,1,2018-03-30,8,175,0.429,4,28,6,28,6,2,6.35,1,1,0,1,0,2018-03-30,0.5
44,673,1,0,TOR,1,2018-03-30,9,175,0.2,4,26,4,28,6,1,6.35,1,1,1,1,0,2018-03-30,0.25
45,633,0,0,TOR,0,2018-03-30,1,241,0.0,4,29,4,32,7,0,1.5,1,1,0,0,1,2018-03-30,0.0
46,834,0,0,TOR,0,2018-03-30,2,241,0.0,4,35,10,32,7,0,1.5,1,1,0,0,1,2018-03-30,0.0
47,240,3,0,TOR,0,2018-03-30,3,241,0.143,4,34,11,32,7,1,1.5,1,1,1,1,0,2018-03-30,0.25
48,190,1,0,TOR,0,2018-03-30,4,241,0.2,3,39,16,32,7,0,1.5,1,1,1,0,1,2018-03-30,0.0
49,811,3,0,TOR,0,2018-03-30,5,241,0.25,4,33,6,32,7,1,1.5,1,1,1,1,0,2018-03-30,0.25
50,130,0,0,TOR,0,2018-03-30,6,241,0.143,4,29,7,32,7,1,1.5,1,1,0,1,0,2018-03-30,0.25
51,814,0,0,TOR,0,2018-03-30,7,241,0.0,3,37,14,32,7,0,1.5,1,1,0,0,1,2018-03-30,0.0
52,160,0,0,TOR,0,2018-03-30,8,241,0.333,3,31,8,32,7,1,1.5,1,1,0,1,0,2018-03-30,0.3333333333333333
53,256,0,0,TOR,0,2018-03-30,9,241,0.0,2,30,3,32,7,0,1.5,1,1,0,0,1,2018-03-30,0.0
54,454,0,1,TB,1,2018-03-30,1,281,0.143,4,28,7,28,5,0,0.0,1,2,1,0,1,2018-03-30,0.0
55,582,1,1,TB,1,2018-03-30,2,281,0.0,4,26,5,28,5,0,0.0,1,2,0,0,1,2018-03-30,0.0
56,865,0,1,TB,1,2018-03-30,3,281,0.286,4,37,15,28,5,2,0.0,1,2,1,1,0,2018-03-30,0.5
57,550,0,1,TB,1,2018-03-30,4,281,0.0,4,33,10,28,5,0,0.0,1,2,1,0,1,2018-03-30,0.0
58,626,0,1,TB,1,2018-03-30,5,281,0.625,4,28,8,28,5,2,0.0,1,2,1,1,0,2018-03-30,0.5
59,544,1,1,TB,1,2018-03-30,6,281,0.25,4,24,4,28,5,1,0.0,1,2,0,1,0,2018-03-30,0.25
60,777,0,1,TB,1,2018-03-30,7,281,0.375,4,33,11,28,5,1,0.0,1,2,1,1,0,2018-03-30,0.25
61,47,1,1,TB,1,2018-03-30,8,281,0.0,3,30,8,28,5,0,0.0,1,2,0,0,1,2018-03-30,0.0
62,581,0,1,TB,1,2018-03-30,9,281,0.333,3,30,6,28,5,1,0.0,1,2,1,1,0,2018-03-30,0.3333333333333333
63,449,0,1,TB,0,2018-03-30,1,136,0.125,4,31,2,35,12,0,0.0,1,2,1,0,1,2018-03-30,0.0
64,791,1,1,TB,0,2018-03-30,2,136,0.143,4,30,8,35,12,1,0.0,1,2,0,1,0,2018-03-30,0.25
65,123,0,1,TB,0,2018-03-30,3,136,0.0,4,35,13,35,12,0,0.0,1,2,1,0,1,2018-03-30,0.0
66,314,0,1,TB,0,2018-03-30,4,136,0.143,4,30,7,35,12,1,0.0,1,2,1,1,0,2018-03-30,0.25
67,301,0,1,TB,0,2018-03-30,5,136,0.143,3,33,11,35,12,1,0.0,1,2,1,1,0,2018-03-30,0.3333333333333333
68,398,1,1,TB,0,2018-03-30,6,136,0.333,3,31,8,35,12,1,0.0,1,2,0,1,0,2018-03-30,0.3333333333333333
69,223,0,1,TB,0,2018-03-30,7,136,0.286,3,31,9,35,12,0,0.0,1,2,1,0,1,2018-03-30,0.0
70,204,0,1,TB,0,2018-03-30,8,136,0.0,2,35,4,35,12,0,0.0,1,2,1,0,1,2018-03-30,0.0
71,298,0,1,TB,0,2018-03-30,9,136,0.0,2,29,5,35,12,0,0.0,1,2,1,0,1,2018-03-30,0.0
73,677,0,1,MIA,1,2018-03-30,2,95,0.4,8,28,6,29,4,3,1.69,1,1,1,1,0,2018-03-30,0.375
74,469,1,1,MIA,1,2018-03-30,3,95,0.091,8,31,10,29,4,0,1.69,1,1,0,0,1,2018-03-30,0.0
75,757,0,1,MIA,1,2018-03-30,4,95,0.167,8,28,5,29,4,1,1.69,1,1,1,1,0,2018-03-30,0.125
76,327,1,1,MIA,1,2018-03-30,5,95,0.143,4,27,6,29,4,0,1.69,1,1,0,0,1,2018-03-30,0.0
77,71,0,1,MIA,1,2018-03-30,6,95,0.333,5,26,5,29,4,0,1.69,1,1,1,0,1,2018-03-30,0.0
78,366,3,1,MIA,1,2018-03-30,7,95,0.429,7,39,14,29,4,3,1.69,1,1,1,1,0,2018-03-30,0.42857142857142855
79,395,0,1,MIA,1,2018-03-30,8,95,0.0,7,28,7,29,4,0,1.69,1,1,1,0,1,2018-03-30,0.0
80,818,0,1,MIA,1,2018-03-30,9,95,0.0,2,31,7,29,4,0,1.69,1,1,1,0,1,2018-03-30,0.0
81,351,0,0,MIA,0,2018-03-30,1,65,0.308,8,26,4,31,7,4,1.5,1,1,0,1,0,2018-03-30,0.5
82,619,1,0,MIA,0,2018-03-30,2,65,0.273,8,31,8,31,7,1,1.5,1,1,1,1,0,2018-03-30,0.125
83,857,0,0,MIA,0,2018-03-30,3,65,0.3,8,30,11,31,7,2,1.5,1,1,0,1,0,2018-03-30,0.25
84,236,1,0,MIA,0,2018-03-30,4,65,0.125,4,32,6,31,7,1,1.5,1,1,1,1,0,2018-03-30,0.25
85,171,0,0,MIA,0,2018-03-30,5,65,0.364,8,27,4,31,7,2,1.5,1,1,0,1,0,2018-03-30,0.25
86,574,0,0,MIA,0,2018-03-30,6,65,0.25,2,30,4,31,7,0,1.5,1,1,0,0,1,2018-03-30,0.0
87,533,0,0,MIA,0,2018-03-30,7,65,0.222,8,31,7,31,7,1,1.5,1,1,0,1,0,2018-03-30,0.125
88,279,0,0,MIA,0,2018-03-30,8,65,0.0,7,29,4,31,7,0,1.5,1,1,0,0,1,2018-03-30,0.0
