,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
47,14,0,0,KC,0,2016-04-03,3,140,0.5,4,34,11,31,8,1,4.76,0,0,0,1,0,2016-04-03,0.25
48,118,1,0,KC,0,2016-04-03,4,140,0.75,4,31,10,31,8,3,4.76,0,0,1,1,0,2016-04-03,0.75
49,483,3,0,KC,0,2016-04-03,5,140,0.0,4,37,13,31,8,0,4.76,0,0,1,0,1,2016-04-03,0.0
50,335,1,0,KC,0,2016-04-03,6,140,0.25,4,36,14,31,8,1,4.76,0,0,1,1,0,2016-04-03,0.25
51,599,0,0,KC,0,2016-04-03,7,140,0.333,3,30,9,31,8,1,4.76,0,0,0,1,0,2016-04-03,0.3333333333333333
52,278,0,0,KC,0,2016-04-03,8,140,0.667,3,39,15,31,8,2,4.76,0,0,0,1,0,2016-04-03,0.6666666666666666
54,294,1,0,MIL,1,2016-04-04,1,19,0.5,5,36,11,31,8,2,9.0,0,1,1,1,0,2016-04-04,0.4
55,598,1,0,MIL,1,2016-04-04,2,19,0.2,5,30,7,31,8,1,9.0,0,1,1,1,0,2016-04-04,0.2
56,387,0,0,MIL,1,2016-04-04,3,19,0.5,5,33,11,31,8,2,9.0,0,1,0,1,0,2016-04-04,0.4
57,69,0,0,MIL,1,2016-04-04,4,19,0.2,5,37,14,31,8,1,9.0,0,1,0,1,0,2016-04-04,0.2
58,97,1,0,MIL,1,2016-04-04,5,19,0.75,5,32,10,31,8,3,9.0,0,1,1,1,0,2016-04-04,0.6
59,454,0,0,MIL,1,2016-04-04,6,19,0.4,5,31,2,31,8,2,9.0,0,1,0,1,0,2016-04-04,0.4
60,710,1,0,MIL,1,2016-04-04,7,19,0.333,4,33,10,31,8,1,9.0,0,1,1,1,0,2016-04-04,0.25
61,329,0,0,MIL,1,2016-04-04,8,19,0.0,3,31,12,31,8,0,9.0,0,1,0,0,1,2016-04-04,0.0
62,168,3,0,MIL,1,2016-04-04,9,19,0.25,5,39,11,31,8,1,9.0,0,1,1,1,0,2016-04-04,0.2
63,532,0,1,MIL,0,2016-04-04,1,123,0.4,5,28,7,31,12,2,5.4,0,1,1,1,0,2016-04-04,0.4
64,764,3,1,MIL,0,2016-04-04,2,123,0.333,4,29,8,31,12,1,5.4,0,1,1,1,0,2016-04-04,0.25
65,446,0,1,MIL,0,2016-04-04,3,123,0.25,4,37,14,31,12,1,5.4,0,1,1,1,0,2016-04-04,0.25
